policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
oracle,20261640,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7882.104258367809,788210.4258367809,788210.4258367809,100.0,0.0,1.0,1.0,0.1898323551013091,0.046208016888581394,0.020729542000000212,oracle,context_noise_refinement
state_thompson,20262538,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6954.59348993576,695459.348993576,756316.7772848505,91.95344726983971,60857.42829127447,0.65,0.83,0.1922956215341444,0.04323942325938663,0.02286016600000007,state_thompson,context_noise_refinement
global_ucb_tw,20262374,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6299.425227422698,629942.5227422698,685287.8650864888,91.92378193691873,55345.34234421898,0.65,0.82,0.20015338131163102,0.040630315065252894,0.49424533299999984,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262272,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6973.931692894921,697393.1692894921,760743.0895050052,91.67262626641364,63349.92021551309,0.77,0.92,0.18450865313905457,0.04293141597567746,0.4930537909999999,local_ucb_tw_dense,context_noise_refinement
exp4,20261395,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7337.811586393799,733781.1586393799,775376.8688028727,94.63542029210728,41595.710163492826,0.81,0.88,0.18675285363569244,0.06260410226476554,0.5206383340000005,exp4_dense,context_noise_refinement
tw,20261245,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7343.2498296747635,734324.9829674764,796301.5591642673,92.21694652188847,61976.576196790906,0.73,0.9,0.18670890688159425,0.0452545668502819,0.4829301249999993,tw_dense,context_noise_refinement
tm_tw,20261565,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7536.606818688016,753660.6818688016,792510.6710734227,95.09785916800332,38849.98920462106,0.83,0.91,0.17938230450859308,0.05196758942825581,0.5128802910000001,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262393,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6867.762461160928,686776.2461160928,721437.5568824118,95.19552171415876,34661.310766319046,0.68,0.86,0.1876340558486731,0.048952288137473765,0.493746625,tm_tw_refined_dense,context_noise_refinement
tw,20261457,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6523.962438898486,652396.2438898486,797979.3821275617,81.75602759941474,145583.13823771314,0.73,0.86,0.1072938412901976,0.025977530681932252,0.4800550000000001,tw_offline,context_noise_refinement
tm_tw,20261777,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7467.572356357912,746757.2356357912,784210.3079711414,95.22410354025487,37453.07233535021,0.82,0.91,0.1121556568167483,0.02885738151703608,0.4920071669999997,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262605,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7047.29966803121,704729.966803121,728827.9479508351,96.69359809602969,24097.981147714076,0.76,0.9,0.10044518886333009,0.02779105812365305,0.49132229100000036,tm_tw_refined_offline,context_noise_refinement
tw,20262069,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6332.581593752684,633258.1593752684,766252.5847221419,82.64352669099317,132994.42534687347,0.63,0.77,0.11579286362625557,0.028064669247055248,0.48265758400000003,tw_gated_offline,context_noise_refinement
tm_tw,20262389,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6135.428051331578,613542.8051331578,809622.5773158013,75.78133593646552,196079.77218264353,0.7,0.8,0.10718297077940195,0.027790670801573422,0.49403566600000115,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263217,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7603.263527426224,760326.3527426224,744385.9746100539,102.14141301371492,-15940.37813256844,0.77,0.94,0.10536133977526593,0.02827623361220882,0.4940519170000002,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262349,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7320.911918543517,732091.1918543517,783739.5607032083,93.41000870205973,51648.368848856655,0.81,0.93,0.0740603595442827,2.6695972747871144e-07,0.4857259169999999,tw_support_offline,context_noise_refinement
tm_tw,20262669,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,5663.770869821538,566377.0869821538,704572.6463009088,80.38590342042112,138195.55931875494,0.58,0.76,0.0854739587286204,2.210362215713601e-07,0.49496154100000034,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263497,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7487.608219538812,748760.8219538812,751164.8052659957,99.67996592821423,2403.983312114491,0.8,0.94,0.0782600921688273,2.474627190213153e-07,0.49629079099999984,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261641,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11510.551935639027,1151055.1935639028,1151055.1935639028,100.0,0.0,1.0,1.0,0.17236319599695538,0.044960002739327175,0.01982695799999945,oracle,context_noise_refinement
state_thompson,20262539,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8044.476208854665,804447.6208854665,1055398.0655377868,76.2221996754896,250950.44465232035,0.41,0.64,0.19227618546289613,0.04173286528783191,0.022404250000001014,state_thompson,context_noise_refinement
global_ucb_tw,20262375,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11288.480500743106,1128848.0500743105,1245326.1479236209,90.64677971762508,116478.09784931038,0.73,0.89,0.1921092458443615,0.04730225725946731,0.49102524999999986,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262273,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9977.963552130555,997796.3552130555,1160800.8221036282,85.95758516132229,163004.4668905727,0.61,0.7,0.1940848486805831,0.040701912089338564,0.4908498329999986,local_ucb_tw_dense,context_noise_refinement
exp4,20261396,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9960.418363214589,996041.8363214588,1095518.0240443626,90.91971236076391,99476.1877229038,0.62,0.75,0.1969310022809764,0.04984971415192157,0.5024355420000006,exp4_dense,context_noise_refinement
tw,20261246,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8622.593784989134,862259.3784989135,1119459.6418076348,77.02460600603608,257200.26330872136,0.68,0.87,0.185792058470144,0.038456627523920234,0.48093487500000087,tw_dense,context_noise_refinement
tm_tw,20261566,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9189.61748325546,918961.748325546,1134800.9823488586,80.97999231754633,215839.23402331257,0.68,0.84,0.17683670146527974,0.03915169080949607,0.4910628329999991,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262394,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,10169.144395116815,1016914.4395116814,1077965.9402523618,94.33641653590766,61051.50074068038,0.56,0.76,0.17702448201153126,0.0470418857993621,0.49335458300000035,tm_tw_refined_dense,context_noise_refinement
tw,20261458,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,9983.078870316907,998307.8870316908,1161417.2747442643,85.9560046798435,163109.38771257352,0.65,0.84,0.10111527960878514,0.025572435350706656,0.4819294999999997,tw_offline,context_noise_refinement
tm_tw,20261778,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,2539.345471886667,253934.54718866668,974252.8296953439,26.0645429449842,720318.2825066772,0.17,0.45,0.10672512890525733,0.02516859875013005,0.4935332500000005,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262606,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,11626.446444147068,1162644.6444147069,1139782.2569534774,102.00585570811904,-22862.38746122946,0.74,0.85,0.10867094404604974,0.027548408630418193,0.49332683399999944,tm_tw_refined_offline,context_noise_refinement
tw,20262070,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4679.428387472016,467942.8387472016,1092217.7572750554,42.843364853786994,624274.9185278538,0.29,0.81,0.10055227163022108,0.025973296941102127,0.4878239579999999,tw_gated_offline,context_noise_refinement
tm_tw,20262390,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,11881.937159657618,1188193.7159657618,1292469.6053505023,91.9320432021717,104275.8893847405,0.69,0.85,0.10910521400357646,0.031289292485678036,0.49715162500000076,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263218,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,9711.727391825467,971172.7391825466,1086613.368092502,89.37610816323695,115440.62890995538,0.62,0.85,0.11178937101783278,0.025470134204396543,0.4940019580000019,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262350,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,9857.295089158755,985729.5089158756,1098627.269273596,89.723743118777,112897.76035772031,0.68,0.83,0.08089294807188564,2.280719642764015e-07,0.4865805420000022,tw_support_offline,context_noise_refinement
tm_tw,20262670,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,10169.490160132355,1016949.0160132354,1172787.2343589712,86.71214916225493,155838.2183457358,0.6,0.78,0.09119667688915982,2.2267428741050285e-07,0.5006981669999995,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263498,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,10812.003555403679,1081200.3555403678,1067676.0252447207,101.2667073134425,-13524.330295647029,0.71,0.88,0.08583345079792215,2.288048389445277e-07,0.5007045419999976,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261642,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,17077.93418692942,1707793.4186929418,1707793.4186929418,100.0,0.0,1.0,1.0,0.20500654945924948,0.05072670904164115,0.020155499999997772,oracle,context_noise_refinement
state_thompson,20262540,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8893.170129921225,889317.0129921226,1469502.044117512,60.518256272735506,580185.0311253894,0.45,0.69,0.17452147811802493,0.041827122605572496,0.022228625000000335,state_thompson,context_noise_refinement
global_ucb_tw,20262376,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,15377.596545463446,1537759.6545463447,1669327.2521479563,92.11852574548692,131567.59760161163,0.77,0.87,0.18620407274262074,0.04244496881621698,0.4942298749999985,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262274,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,16907.124358638823,1690712.4358638823,1749215.4652574786,96.65547037768816,58503.02939359634,0.88,0.94,0.17315728826998203,0.04884488051551913,0.49120650000000055,local_ucb_tw_dense,context_noise_refinement
exp4,20261397,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,16243.721366596905,1624372.1366596904,1690349.8483235943,96.09680139709911,65977.7116639039,0.85,0.86,0.18032450044683784,0.05841840947239811,0.49762179100000026,exp4_dense,context_noise_refinement
tw,20261247,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,12778.021369028436,1277802.1369028436,1607157.9596522094,79.50694138237421,329355.8227493658,0.66,0.78,0.19268035674134174,0.04208262656643252,0.4810885409999983,tw_dense,context_noise_refinement
tm_tw,20261567,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9663.87487282253,966387.4872822529,1596009.4023381765,60.550237728329265,629621.9150559236,0.42,0.62,0.18076454360645083,0.03526660422639608,0.49006170799999893,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262395,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,13428.994269272609,1342899.4269272608,1608383.6627809142,83.49372466301801,265484.2358536534,0.74,0.86,0.18540766282888235,0.04681701414094566,0.4942770000000003,tm_tw_refined_dense,context_noise_refinement
tw,20261459,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,10518.546014784079,1051854.6014784079,1612118.88893726,65.24671404177955,560264.2874588522,0.54,0.79,0.12016522583336842,0.023303082442538967,0.4802966669999975,tw_offline,context_noise_refinement
tm_tw,20261779,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,3531.8652829895996,353186.52829895995,1373879.3845782215,25.70724419213755,1020692.8562792615,0.1,0.59,0.11578261974226606,0.024847762210592213,0.4933437500000011,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262607,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,15142.195242473883,1514219.5242473884,1645593.3671013433,92.01662783283057,131373.842853955,0.71,0.89,0.10993288700239842,0.02636841562161947,0.49122770800000026,tm_tw_refined_offline,context_noise_refinement
tw,20262071,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,14664.179085909622,1466417.9085909622,1794818.0327866192,81.70287359516966,328400.124195657,0.69,0.87,0.11718793524353187,0.027976193616706974,0.4839441669999971,tw_gated_offline,context_noise_refinement
tm_tw,20262391,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,2704.253804003605,270425.3804003605,1400084.7946211982,19.31492874140711,1129659.4142208376,0.11,0.46,0.1142654918785442,0.02622936760032056,0.4942790420000023,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263219,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,12674.544731858263,1267454.4731858263,1569029.6611725425,80.77951007240057,301575.18798671616,0.74,0.85,0.10453125807022703,0.02730202609976117,0.4955032500000023,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262351,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,15086.761047930231,1508676.104793023,1691670.0888850312,89.18264351339225,182993.9840920081,0.76,0.9,0.08518498550658915,2.4119463061309236e-07,0.48782675,tw_support_offline,context_noise_refinement
tm_tw,20262671,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,4058.353640935862,405835.3640935862,1384291.4336015629,29.317191036695874,978456.0695079766,0.08,0.67,0.06800940902252946,2.3602976287957472e-07,0.5013509169999999,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263499,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,15253.650001969258,1525365.0001969258,1630038.2301393612,93.57848006218317,104673.2299424354,0.8,0.84,0.08872248079198547,2.639171073880392e-07,0.49652866699999976,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261643,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6153.062786882976,615306.2786882976,615306.2786882976,100.0,0.0,1.0,1.0,0.16559163310048963,0.040493870136001545,0.020300833000000296,oracle,context_noise_refinement
state_thompson,20262541,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,3228.6180315985594,322861.80315985595,573417.7656467515,56.30481343662307,250555.96248689556,0.31,0.55,0.18208999162442158,0.041667465651810294,0.02222262499999772,state_thompson,context_noise_refinement
global_ucb_tw,20262377,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4856.763862737531,485676.3862737531,544480.7397669698,89.19992036478936,58804.35349321674,0.55,0.83,0.17981989454590436,0.03994695929615588,0.4924326249999993,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262275,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5891.557765859879,589155.7765859879,602335.5481868307,97.81188879844183,13179.771600842825,0.67,0.81,0.17871830529405835,0.04375668984938247,0.4896530410000004,local_ucb_tw_dense,context_noise_refinement
exp4,20261398,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4668.8747882722855,466887.4788272286,575769.0934302503,81.08936102243011,108881.6146030217,0.46,0.66,0.1976250875169422,0.06281335854964286,0.495266333,exp4_dense,context_noise_refinement
tw,20261248,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5508.740130191483,550874.0130191484,615940.9847300794,89.43616785958073,65066.971710931044,0.66,0.89,0.20269462287336534,0.03974842569545712,0.48028866699999995,tw_dense,context_noise_refinement
tm_tw,20261568,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4482.506386323563,448250.63863235625,526785.7147150643,85.09164658628086,78535.07608270802,0.59,0.81,0.187132667462549,0.034398379810130365,0.4909432080000009,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262396,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4775.4294437490735,477542.94437490735,541541.5253215506,88.18214708306205,63998.5809466432,0.51,0.78,0.17592105383725418,0.049937166438192696,0.48870070899999973,tm_tw_refined_dense,context_noise_refinement
tw,20261460,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4161.974160607819,416197.41606078186,613383.0048360361,67.85277922267115,197185.58877525426,0.52,0.77,0.10878965424361822,0.025597437523326442,0.48077037499999875,tw_offline,context_noise_refinement
tm_tw,20261780,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4891.196531249173,489119.6531249173,543123.8751740839,90.05673944422772,54004.222049166565,0.52,0.77,0.10459601566889261,0.026666629905816412,0.4964574999999982,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262608,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4774.6078085340205,477460.78085340204,573201.3211893619,83.2972226691133,95740.54033595981,0.51,0.77,0.1051545547821752,0.027695647431100104,0.49316741699999866,tm_tw_refined_offline,context_noise_refinement
tw,20262072,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4523.899897293397,452389.9897293397,615295.4645831855,73.52402476033177,162905.47485384578,0.55,0.75,0.11641792856385551,0.026174830320861545,0.4859676250000007,tw_gated_offline,context_noise_refinement
tm_tw,20262392,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5125.498172751601,512549.81727516005,568905.3243262267,90.09404471336063,56355.50705106667,0.55,0.88,0.12379695717136559,0.029194073261134133,0.494984917,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263220,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5434.885745426677,543488.5745426677,577019.0982714288,94.18900971749319,33530.52372876112,0.61,0.9,0.10293649610789617,0.02889682894044032,0.49528245799999837,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262352,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,3876.5699634983703,387656.99634983705,638345.4755533737,60.72840040321145,250688.47920353664,0.49,0.79,0.07877501868769601,2.40541593601121e-07,0.4886160000000004,tw_support_offline,context_noise_refinement
tm_tw,20262672,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,4291.585116852755,429158.51168527553,615708.542345609,69.70156854578454,186550.03066033352,0.63,0.9,0.0899946136406948,2.2365627139410387e-07,0.5330839999999988,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263500,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,5809.81780808532,580981.780808532,597549.2621218864,97.22742837058763,16567.481313354336,0.64,0.86,0.09187348138969961,2.335131961827356e-07,0.5079684590000042,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261644,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9112.985612051018,911298.5612051018,911298.5612051018,100.0,0.0,1.0,1.0,0.18780978412276705,0.044167510310753694,0.019787540999999464,oracle,context_noise_refinement
state_thompson,20262542,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4143.137062854341,414313.70628543413,794789.182193665,52.12875509225024,380475.4759082308,0.25,0.51,0.18663492966042655,0.044049035493189496,0.022736541000000443,state_thompson,context_noise_refinement
global_ucb_tw,20262378,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5596.496524014241,559649.6524014241,896920.4005794119,62.39680266385842,337270.74817798776,0.43,0.66,0.17531188709971832,0.034455095197900444,0.5152235839999975,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262276,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6629.691078130537,662969.1078130536,824482.1265542911,80.410367485316,161513.01874123747,0.53,0.75,0.17368685703778214,0.03495878582074967,0.4941554580000016,local_ucb_tw_dense,context_noise_refinement
exp4,20261399,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8661.695687547803,866169.5687547803,886991.6271547002,97.65250789720382,20822.058399919886,0.62,0.86,0.1864362214174363,0.06261385376033891,0.5017289589999976,exp4_dense,context_noise_refinement
tw,20261249,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7093.242119970217,709324.2119970217,858201.2895748958,82.65242905290677,148877.07757787406,0.56,0.71,0.17717063204581004,0.0396442344953793,0.4833741670000009,tw_dense,context_noise_refinement
tm_tw,20261569,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6644.042083122614,664404.2083122614,899598.3442821469,73.85565041723554,235194.1359698855,0.5,0.77,0.18300419479489285,0.04453146278540356,0.4970389170000047,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262397,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8916.212725116597,891621.2725116597,869395.8352939658,102.55642324421521,-22225.437217693892,0.71,0.85,0.18209361698333038,0.05139695757824184,0.49246887500000014,tm_tw_refined_dense,context_noise_refinement
tw,20261461,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7792.4435211030095,779244.3521103009,934295.0762545245,83.40452303721827,155050.7241442236,0.65,0.84,0.12238894699233126,0.023796005955480596,0.4807022500000002,tw_offline,context_noise_refinement
tm_tw,20261781,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,3756.135205137891,375613.5205137891,849337.2680698587,44.22430695492507,473723.7475560696,0.33,0.64,0.11504901812002172,0.0231265416478572,0.492672958,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262609,100,8,2,0.0,0.45,0.0,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,9337.622032489895,933762.2032489894,957906.3731521958,97.4794854090223,24144.169903206406,0.74,0.86,0.11617857616591212,0.027959056089422892,0.4931670829999959,tm_tw_refined_offline,context_noise_refinement
tw,20262073,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,8706.585913842358,870658.5913842359,953570.0938870384,91.30514861630881,82911.50250280253,0.65,0.74,0.0960123252164165,0.028905862054555607,0.48499466700000227,tw_gated_offline,context_noise_refinement
tm_tw,20262393,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,8874.92262081592,887492.262081592,965566.2153214304,91.91417926590896,78073.95323983836,0.7,0.89,0.10652382808777879,0.02799657260569229,0.4970361660000009,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263221,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,8677.835121131087,867783.5121131086,875738.2693639587,99.09165129250003,7954.757250850089,0.66,0.77,0.10285198949003041,0.02902871553610698,0.49772479199999964,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262353,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7760.784755658133,776078.4755658132,912042.9980849557,85.09231222599907,135964.52251914248,0.67,0.92,0.08296762851916333,2.2208003423108187e-07,0.48540512499999977,tw_support_offline,context_noise_refinement
tm_tw,20262673,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,8256.483253414071,825648.3253414071,841418.944730033,98.12571139651652,15770.619388625957,0.75,0.83,0.08347334323860896,2.4642190621928146e-07,0.4965722499999998,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263501,100,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,9738.73197419321,973873.1974193209,975926.2122648209,99.78963421417531,2053.0148455000017,0.72,0.86,0.07818321046455111,2.7388819083676487e-07,0.49853075000000047,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261645,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7053.153606056458,705315.3606056458,705315.3606056458,100.0,0.0,1.0,1.0,0.1684907592533077,0.039273420323646786,0.02007183299999582,oracle,context_noise_refinement
state_thompson,20262543,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5484.8474923602425,548484.7492360242,642542.5595590293,85.36162174416026,94057.81032300508,0.55,0.87,0.1730580038777147,0.043800085738867074,0.02262358400000153,state_thompson,context_noise_refinement
global_ucb_tw,20262379,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5496.905154366264,549690.5154366264,614428.7265734882,89.4636744121828,64738.21113686182,0.53,0.82,0.17635546878749875,0.046557968255459825,0.4914977499999935,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262277,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5721.638552163143,572163.8552163143,661407.0113870428,86.50707436808452,89243.1561707285,0.66,0.85,0.1749328928551664,0.04000339851420662,0.49049645800000263,local_ucb_tw_dense,context_noise_refinement
exp4,20261400,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5688.946334092415,568894.6334092414,657071.3141846961,86.58034845352128,88176.68077545462,0.58,0.76,0.18587335599107893,0.06276358453573797,0.49698087499999843,exp4_dense,context_noise_refinement
